,date,id,p#,text,title,url
420759,1994-12-30,nyt://article/09d2e234-9fa7-5ead-9f1e-c962806ad5d1,1.0,POP AND ROCK Big Time Sarah,Sounds Around Town: On New Year's Eve,https://www.nytimes.com/1994/12/30/arts/sounds-around-town-on-new-year-s-eve-254185.html
420760,1994-12-30,nyt://article/09d2e234-9fa7-5ead-9f1e-c962806ad5d1,2.0,"Big Time Sarah, Chicago Blues, 73 Eighth Avenue, at 14th Street, Greenwich Village. (212) 924-9755. Big Time Sarah does everything a good-time blues belter has to do: she shouts, she rasps, she wails, she slings double-entendres and she gets the audience to join in. Her group, the B.T.S. Express, chugs along and smiles at her exuberance. Sets are at 10 and 11:30 P.M. and 1 A.M. Admission is $20. JON PARELES N.R.B.Q., Unpredictably",Sounds Around Town: On New Year's Eve,https://www.nytimes.com/1994/12/30/arts/sounds-around-town-on-new-year-s-eve-254185.html
420761,1994-12-30,nyt://article/09d2e234-9fa7-5ead-9f1e-c962806ad5d1,3.0,"N.R.B.Q., Bottom Line, 15 West Fourth Street, Greenwich Village, (212) 228-7880. Take the raucous twang of rocked-up rockabilly and splash on the tone clusters and manic piano pounding that link Jerry Lee Lewis to Sun Ra. Add to a seemingly bottomless repertory of well-known and obscure old songs, throw in some jovial pop originals by the band, and this results in N.R.B.Q., a band as unpredictable as it is seasoned. The Motorkings, led by Frank Funaro, formerly the Del-Lords' drummer, are to share the bill. Admission to the early show, at 9:30 P.M., is $30; the late show, at 1 A.M., is $25. J. P. Cypress Hill",Sounds Around Town: On New Year's Eve,https://www.nytimes.com/1994/12/30/arts/sounds-around-town-on-new-year-s-eve-254185.html
420762,1994-12-30,nyt://article/09d2e234-9fa7-5ead-9f1e-c962806ad5d1,4.0,"Cypress Hill, Palladium, 126 East 14th Street, East Village, (212) 473-7171. In Cypress Hill's singsong raps, characters spend half their time smoking pot, the rest shooting at people. As a spokesgroup for the legalization of marijuana, Cypress Hill makes the worst possible case for its cause. But its fans make a party out of irresponsible intentions and bad vibes. Doors open at 9 P.M.; tickets are $60 in advance, $75 at the door. J. P. God Street Wine",Sounds Around Town: On New Year's Eve,https://www.nytimes.com/1994/12/30/arts/sounds-around-town-on-new-year-s-eve-254185.html
420763,1994-12-30,nyt://article/09d2e234-9fa7-5ead-9f1e-c962806ad5d1,5.0,"God Street Wine, Irving Plaza, Irving Place at 15th Street, Manhattan, (212) 777-6800. Among the coterie of young bands rooted in the Grateful Dead's jamming, God Street has a few custom options: glimmers of progressive rock and reggae, an occasional rap and a post-hippie precision. Otherwise, the two-chord vamps just keep percolating along for the tie-dyed dancers. Tickets are $28.50 in advance, $33 on Saturday. J. P. Blues and Techno",Sounds Around Town: On New Year's Eve,https://www.nytimes.com/1994/12/30/arts/sounds-around-town-on-new-year-s-eve-254185.html
420764,1994-12-30,nyt://article/09d2e234-9fa7-5ead-9f1e-c962806ad5d1,6.0,"Crystal Waters and Lords of Acid, Limelight, 660 Avenue of the Americas, at 20th Street, (212) 807-7850). With her tart, unsentimental voice, Crystal Waters carries the corrosive rhythm-and-blues of Dinah Washington and Esther Phillips into the era of house music. Her lyrics aren't always simple exhortations to dance; her 1991 hit, ""Gypsy Woman,"" combined an irresistible ""la-da-dee, la-da-dah"" chorus with verses about a homeless woman. Lords of Acid, from Belgium, combine fast, propulsive techno music with lyrics about as many taboos as they can formulate. ""I want to talk to you about the forbidden pleasures of the flesh,"" a woman announces to open a single called ""The Crablouse."" Doors open at 9 P.M.; Ms. Waters is to performs about 11:30 P.M., the Lords of Acid at 1:30 A.M. Tickets are $35 in advance, $50 at the door. J. P. Debbie Harry",Sounds Around Town: On New Year's Eve,https://www.nytimes.com/1994/12/30/arts/sounds-around-town-on-new-year-s-eve-254185.html
420765,1994-12-30,nyt://article/09d2e234-9fa7-5ead-9f1e-c962806ad5d1,7.0,"Debbie Harry and the Lunachicks, Don Hill's, 511 Greenwich Street, at Spring Street, SoHo (212) 334-1390. Two generations of women's punk-rock. Debbie Harry, who led Blondie in the 1970's and early 80's, helped invent a cool, clear-headed, barbed pop that opened doors for performers as diverse as Madonna, the Go-Go's and Liz Phair. The Lunachicks are faster, sloppier and louder, sometimes angrier, sometimes funnier. Admission is $25. Doors open at 9 P.M.; the Lunachicks are to perform at 11:30 P.M. and Debbie Harry at 2 A.M. J. P. Funk and Social Issues",Sounds Around Town: On New Year's Eve,https://www.nytimes.com/1994/12/30/arts/sounds-around-town-on-new-year-s-eve-254185.html
420766,1994-12-30,nyt://article/09d2e234-9fa7-5ead-9f1e-c962806ad5d1,8.0,"Milo Z., A.K.A., 77 West Houston Street, SoHo, (212) 673-7325. Milo Z. revives the plunging bass lines and wah-wah guitars of 1970's funk. While the music echoes Kool and the Gang and Parliament-Funkadelic, the lyrics take on social issues from interracial romance to gun control. Three sets to begin at 10 P.M.; $75 admission includes an open bar. J. P. JAZZ Vernon Reid and Masque",Sounds Around Town: On New Year's Eve,https://www.nytimes.com/1994/12/30/arts/sounds-around-town-on-new-year-s-eve-254185.html
420767,1994-12-30,nyt://article/09d2e234-9fa7-5ead-9f1e-c962806ad5d1,9.0,"Vernon Reid and Masque, the Sun Ra Arkestra and Kehinde Ouhuru and the El Shabazz D'Jembe Orchestra, the Cooler, 416 West 14th Street, meat-packing district, (212) 229-0785. Masque is a new group led by Vernon Reid, the guitarist in Living Colour, who can blast out hard-rock riffs, zoom through blistering solos or jab and squiggle into realms of electric jazz. The Sun Ra Arkestra has lost its keyboardist and navigator, Sun Ra, but its longtime saxophonist, John Gilmore, leads one of the few big bands to embrace both Fletcher Henderson's swing arrangements and the open-ended possibilities of ""Space Is the Place."" Doors open at 8 P.M.; music is to begin at 9 P.M. Tickets may be bought in advance for $20 by calling (212) 645-5189. Tickets are $25 at the door. J. P.",Sounds Around Town: On New Year's Eve,https://www.nytimes.com/1994/12/30/arts/sounds-around-town-on-new-year-s-eve-254185.html
420768,1994-12-29,nyt://article/35448b50-88b0-5579-a7f9-3922ff081e9d,1.0,"On a bone-chilling morning last April, Tony W., a powerfully built teen-ager who specialized in armed robberies on the streets of New York City, stepped out of one of New York State's most forbidding institutions for teen-agers to begin what he hoped would be a new life.",Beyond Probation: Trying to Break Cycle of Arrest and Rearrest,https://www.nytimes.com/1994/12/29/nyregion/beyond-probation-trying-to-break-cycle-of-arrest-and-rearrest.html
